"608";"Australia";"Sydney";"-33.8678500";"151.2073212";"1.0"
"283";"United States";"New York City";"40.7142691";"-74.0059738";"2.0"
"612";"Australia";"Brisbane";"-27.4679357";"153.0280914";"15.0"
"609";"Australia";"Melbourne";"-37.8139966";"144.9633179";"58.0"
"3970";"Germany";"Berlin";"52.5166667";"13.3999996";"35.0"
"297";"United States";"San Francisco";"37.7749295";"-122.4194183";"60.0"
"611";"Australia";"Adelaide";"-34.9333333";"138.6000061";"65.0"
"1565";"United Kingdom";"London";"51.5084153";"-0.1255327";"21.0"
"7018";"New Zealand";"Auckland";"-36.8666667";"174.7666626";"26.0"
"2240";"China";"Shanghai";"31.2222222";"121.4580536";"6.0"
"4743";"India";"Mumbai";"19.0144100";"72.8479385";"12.0"
"1267";"Bolivia";"La Paz";"-16.5000000";"-68.1500015";"3829.0"
